response_id	general_frequency	recurring_story	recurring_cause	recurring_frequency	recurring_serious	recurring_outcome	serious_story	serious_cause	serious_serious	serious_outcome	field	years
R_Tn1zCiJl48M49bP	Very Low	poor labeling of variables	laziness and short-sightedness...saving time now and causing problems later	Low	Insignificant	time loss	"we once assigned subjects to 8 treatments and had two groups twice as large as the other six. Although that made it easier to implement the experiment, we ""forgot"" that it would complicate (a bit) the analysis because we inadvertantly creeated correlated treatments"	stupidity	Moderate	time loss	methodology and statistics	39
R_3lQFyqvkeqxEGrv	Low	Unclear variable names and unclear recoding of variables, usually in datasets collected by students	Student’s lack of SPSS skills and unfamiliarity with online data collection software	Low	Minor	time loss	A student made a mistake in Qualtrics, resulting in weird scores: scores 11-13 on a five-point rating scale.	The student mixed up items and scale points, and deleted the wrong answering options	Minor	time loss	personality psychology	16
R_cIpsWQTCtqyVUd3	Low	Data not cleaned appropriately.	Student not supervised well enough.	Low	Minor	time loss	Data not cleaned appropriately.	Student not supervised well.	Minor	frustration	applied psychology	20
R_2E3SqExkJaw5KMM	Very Low	Mistaken excel files	file name	Very Low	Minor	time loss	No serious mistake	NA	Insignificant	NA	neurophysiology and physiological psychology	58
R_3n5YF1P3zkjw6mc	Very High	Using same subject# more than once	Good question. I suppose carelessness or failure to emphasize the importance of getting this right	High	Minor	time loss	Inappropriate data analysis /modeling or errors in code	Grad student taking confusing theory with programming shortcut. Or lack of double checking code	Major	time loss	experimental and cognitive psychology	20
R_2tLFnGE5wJ0UxSs	Low	In large datasets, with hundreds of variables: Analyzing earlier version of e.g., sum score that includes errors rectified in later version of variable.	Not sufficiently clear procedures for dataset cleanup and management.	Low	Minor	time loss	same as above	same as above	Minor	time loss	clinical psychology	12
R_3iIFj59dgB5EXPO	Low	losing some data files	because the data was not saved to the correct directory	Low	Minor	frustration	losing all the data for an experiment	when the computer rebooted it cleared all the saved files	Moderate	time loss	applied psychology	27
R_1IXK61gu891fM53	Very Low	can't remember one, other than temporarily losing a dataset or results set	insufficient paranoia	Low	Minor	time loss	? can't understand question	NA	NA	NA	social psychology	50
R_3ObQwLaOYCfdTA5	Low	Bad management data by a student who is not careful entering/managing data from his/her project.  I now have to have my 2 full time research assistants double check the same databases to make sure that we don’t have mistakes done by students on their own databse.	Students’ inexperience or lack of interest in data management. I now train all of them on this but still......	Low	Moderate	erroneous conclusion	Saying there is a significant difference between 2 groups, wrote the paper and when I reanalyzed I saw the mistake and cancelled the paper but so much time lost.	Student having problem handling a database. Did it by hand. We have to find ways to automatize handling so that  we take out the human factor.	Minor	time loss	neurophysiology and physiological psychology	25
R_3PYR1LMIJhMu0dH	Moderate	OH MAN, how many characters do I have? The most common mistakes are related to naming of variables and files, so that I'm building models (temporarily! so far it's always been a temporary glitch!) from an outdated version of a variable or dataset.	Naming things transparently and concisely is REALLY hard, and sharing files compounds the difficulty. I didn't know as a trainee that data management required so much vigilance.	Very High	Minor	Time loss AND frustration	I drafted a chunk of a paper based on faulty models and had to rewrite. (...and explain to my co-author, which was much more painful than the revised models and revised text)	Naming challenges -- I thought I was working with the correct variable but I was not.	Moderate	Time loss AND frustration	other	8
R_3hyCgqMpettYA1x	Low	Data loss; often the type of work I'm involved in has multiple data files, and if the ID numbers are in any way misentered, we lose the ability to match respondents and lose data.	Often it's the participant mis-entering their id number	Low	Insignificant	time loss	We had a question that was mis-coded completely, and there was no way to backwards-reconstruct the correct variable.	Qualtrics stopped supporting the question type, and since we use the same individual difference measure survey over and over, we didn't realize that it wasn't collecting the data in the way we needed...until we had collected 1000 responses that ended up being unusable.	Major	financial loss	social psychology	13
R_3lMjXKnwsOJomFW	Low	Failure to reflect negatively keyed items on a personality scale.	Carelessness.	Low	Minor	time loss	Omission of parts of a questionnaire.	Failure to doublecheck.	Moderate	time loss	personality psychology	42
R_2U0jyqZlTh8B9Kk	Moderate	Mixing different version of preprocessed data in further processing.	Trying different versions of filtering, measurement windows, etc. and not naming them in a sufficiently informative manner or using some version tracker/logging.	Moderate	Moderate	time loss	Using a non-standard script to calculate d'.	We thought that we should do our own script and omitted an important step fro the calculation.	Moderate	Had to correct it in the revision of the ms.	experimental and cognitive psychology	35
R_2wu8pRf0QuCSjtC	Low	using incorrect formulas in Excel to identify instances that meet a particular criteria - often a formula works for 99.9% of data, but might not work on rare special event trials	In a memory task, participants recall nothing at all, when mean is it recall of 5-8 things, and the formula assumed at least one thing would be recalled..	Low	Insignificant	NA	used excel grand means in a published plot rather than mean of participant means.	The values were out slightly because different participants contributed different numbers of data points per cell-- only spotted when data  reanalysed by another team.  Not serious error and didn't affect conclusion	Minor	mild embarrassment	experimental and cognitive psychology	25
R_2f9fC66h2IIZs1w	Moderate	The most common mistake would be programming errors resulting in a faulty randomization or incomplete data registration	This could be attributed to a miscommunication or lack of communication between the student and promoter: the promoter did not emphasize enough the importance or failed to provide a sufficient test of this program before data collection, and/or the student failed to implement this and was unaware of his/her fault or did not warn about it in time	Low	Moderate	all of the above (apart from erroneous conclusion, because it was always detected in time)	I do not completely understand this question, and how it differs from the previous question? The same problem that recurred for years? I am not aware of a problem that continued over multiple studies.	\	NA	NA	experimental and cognitive psychology	9
R_9QE69SV6ZqszWjT	Low	labeling in graphical display of results go reversed so conditions were labelled incorrectly.	Human error -- rushing, stress, distraction.	Low	Minor	frustration	cannot replicate result from the data set used for a conference presentation	not sure	Moderate	time loss	other	27
R_31XxYTrGO7hkkqE	Very Low	I can't think of any but my project is fairly small	NA	NA	NA	NA	N/a	NA	NA	NA	experimental and cognitive psychology	10
R_06DkavezrMGKffj	Very Low	Unclear variable names and labels	Lack of attention to details	Very Low	Insignificant	time loss	There were no serious data-related mistakes in the last 5 years.	NA	Insignificant	NA	applied psychology	5
R_1FgF6lRVQZUd4dW	Moderate	Coding and scoring errors on for self-report or standardized assessment instruments.	Carelessness, using incorrect/outdated scoring procedure, lack of prior experience with the task, incomplete/improper training, attempting to use a 'manual' scoring method rather than using syntax.	Moderate	Minor	Trial and error is a useful pedagogical technique at the graduate level.  Give student a problem.  Have them attempt to solve it on their own with minimal instruction.  Go through their work with them present and discuss errors/problems.  Help them develop an algorithm to fix it.	A colleague supplied a data set containing the wrong population of participants. I had to start from scratch on a completed manuscript.	Carelessness.	Minor	frustration	social psychology	12
R_1lB26n6FmxVjcjF	NA	NA	NA	NA	NA	NA	NA	NA	Minor	frustration	social psychology	10
R_1f8IXSbHxMdw6pC	Low	no, too much work. this questin is too vague	NA	NA	NA	NA	NA	NA	NA	NA	other	1
R_1NwBZ6uZyWVD4r1	Low	too long! sorry.	human errors	Low	Minor	time loss	already asked this question	already asked this question	NA	NA	other	35
R_3NQyiNXjL1vSMQs	Low	Miscoded levels of categorical variable	Human error on my part	Low	Minor	time loss	Genotyping errors on a large batch of samples	Error at the lab	Moderate	time loss	other	3
R_uyxOp5bl3Heyi5P	Low	Lack of following protocols in file naming	Researcher not fully reading instructions for data management	Very Low	Insignificant	frustration	Forgetting to switch on video camera when recording study	Human error	Minor	frustration	other	40
R_2QJpoM0DXM2EnBw	Low	Data was incorrectly entered; cases were duplicated and had to be manually removed.	human error	Moderate	Minor	time loss	Data did not get recorded that should have been recorded.	Human error, insufficient protocol in place.	Moderate	time loss	social psychology	10
R_pN6MH6N2QB5EWkN	Low	Uninformative varaible names Programming error in script so that not all datapoints were stored.	Lack of time to double-check scripts properly	Low	Minor	frustration	Randomization of conditions was not done properly	Lack of time and ressources for properly double-checking script.	Minor	Some data points could not be used	neurophysiology and physiological psychology	9
R_RwbZAYqdAdCWJpL	Low	Wrong labeling of variables from Qualtrics, wrong coding of item scales.	syntax files used to relabel variables may have had mistakes.	Low	Insignificant	time loss for redoing analyses and frustration (both)	I have fortunately not had any data mistake that was not fixed prior to publication of research or submission of grant.	n/a	Insignificant	no major mistakes	developmental and educational psychology	10
R_1f7yeRvfde3epEo	Very Low	NA	NA	Very Low	Major	NA	NA	NA	NA	NA	experimental and cognitive psychology	15
R_3qlI1oXGPLbeopZ	Very Low	1. I selected the wrong sample for an analysis.   2. Project staff assessed students with the incorrect version of one of the measures.  3. In a data set provided from an external source, the data manager miscalculated three variables. I believe she forgot to reverse-code some of the items for their respective scales.   4. Data sets occasionally contain duplicate entries for a survey or other assessment.  5. Our data manager, in consultation with other investigators, chose to change the treatment condition for individuals who moved between groups with different assignment. For example, if an individual was assigned to a group in the treatment condition but then moved to a group in the control condition, the condition variable was changed.	1. I copied the analysis code used for a previous paper, and failed to adjust the sample selection statement. The error was detected and fixed before the results were presented to the project investigator and well before the paper was submitted for publication.   2. The school where assessments took place adopted a newer version of the assessment, and the new version was accidentally administered.   3. User error. The data manager simply forgot to recode items. The items were quickly recoded and the scales rescored.   4. Duplicate entries usually occur when an assessment is entered (e.g., by hand, scanned) more than once. We routinely check for duplicate cases, so these were dropped--removed from the data for analysis.  5. The change in assignment variable was due to an inexperienced data manager and, more importantly, two inexperienced investigators who did not understand the principle of intention to treat. The assignment variable was changed back to its original state before any analyses were started.	Very Low	Insignificant	time loss	Project staff assessed students with the incorrect version of one of the measures.	The school where assessments took place adopted a newer version of the assessment, and the new version was accidentally administered.	Moderate	The data from this error has not been analyzed, but it will take time and, perhaps, cause frustration while we work out how to resolve the issue.	applied psychology	30
R_SJNhx4IBeQ1eZu9	Low	When columns of data were cut and pasted into the primary data set, the columns of data were partially transposes.	Error on part of research assistant.	Very Low	Major	erroneous conclusion	NA	NA	NA	NA	clinical psychology	42
R_2q9Ql7h5CKuPKN0	High	creation of multiple versions of dataset, and one person updates version 1 while another person updates something else in version 2.	lack of consistent file naming/location by people	Moderate	Moderate	frustration	NA	NA	NA	NA	neurophysiology and physiological psychology	25
R_SHwFOwZ6VkkfpPr	Low	Sometimes you have a dataset. You have a do file or syntax file. You run the command as is on the same exact data set. Filters are the same. Yet you get different results. How did I get that result the first time???	Trying to reproduce the work of someone no longer involved on the project	Moderate	Moderate	time loss	This was before my time, on a project I was not involved in, but I heard that one time the experimental group was coded as 0 and the comparison coded as 1. These designations are of course arbitrary but the conventionally they are coded the other way around. This led to the exact opposite conclusions.	Lack of sense and/or double checking results and interpretations	Extreme	frustration	methodology and statistics	10
R_2QopNHjyyr0Mqmt	Moderate	When running computer controlled experiments, there are errors in stimulus timing, the stimulus sequences, or the data stored.	Failure to conduct a full analysis of pilot data, plus lack of technical skill in individuals (often students) who are responsible for study.	Moderate	Moderate	frustration	Experimental software did not store all experimental condition labels when exporting results.	(a) miscommunication between experiemnter and person writng experimental software. (b) failure to analyse pilot data (c) leaving responsiblity for checking experiment up to student.	Major	limited conclusions that could be reached.	neurophysiology and physiological psychology	30
R_u3udJvSlp9H0lYR	Very Low	The most common data-related mistake is that we realize after beginning to collect data that a question/item was worded incorrectly, missing, or that there was some error in the electronic survey/questionnaire materials (e.g., wrong piping of text, wrong rules presenting new items based on previous responses etc).	Lack of identification of the error prior to data collection.	Low	Minor	time loss	Th most serious data-related mistake was missing items from a measure that should have been included in data collection. However, this was a secondary measure and not primary outcome.	Not testing the materials thoroughly enough to ensure that these errors are avoided.	Minor	frustration	clinical psychology	8
R_UmqU7Ly1qrMBjHP	Low	We will have a dataset that has been built over many years, and old versions of the data are kept as a backup.  There have been times when we have worked with these older datasets by mistake.	Simple confusion.  We try to remember which version of the data is the latest, but if we have not worked with the data recently, it is easy to get confused, particularly with multiple people working on the same project.	Low	Minor	frustration	I read the wrong series into a computer code and there was a graph in a draft of a paper that was wrong for a month or two.	It was a bug in my computer code.  I read in the wrong series from a  database.	Minor	frustration	other	20
R_3s6svosVBZhcLjp	Very Low	None in past 5 years. Long ago we almost lost some data. We were transferring to a local storage from an intranet server using a program meant for use as a backup.  Once we had moved the data, we deleted the old copy. The new copy saw the deletion and, replicated the action on the new copy.  We caught the error and retrieved the data before a permanent loss occurred.   Another type of error was solved by using dual letter/numeric participant names... AB101,  BC102, CD103, DE104, etc.  we began this about 10 years ago.  Subsequently incorrect entries went to near zero and were easily caught.	See above	Very Low	Insignificant	Error tracking became possible, but requires active PI monitoring and time	None recalled in 5.  I’ve been fortunate.  Also, I am a clinician-scientist with only one project running at a time.	N/A	Insignificant	time loss	neurophysiology and physiological psychology	31
R_3EK0TrKycm0yB5b	Very Low	Students collected and analyzed data, but graduated before publishing it. I had to spend some time to understand how they entered the data before starting data analyses.	Insufficient information sharing between me (or researchers who will stay) and those who left the lab.	Moderate	Minor	time loss	Nothing other than the abovementioned insufficient information sharing.	NA	NA	NA	social psychology	23
R_1lz69PsdTmTnVVj	Low	Maintaining a living codebook with item stems, response codes, and other metadata as variables are created and data from additional collections are added.	Lack of an organization system and clear job responsibilities	Moderate	Minor	time loss	A longitudinal study I was brought on to had not created unique IDs for participants in order to ensure data collected across years could be joined.	Poor planning and not consulting with a statistician/psychometrician/data analyst specialist beforehand	Moderate	Loss of participants because information could not be matched across years	methodology and statistics	5
R_1C9qNC1dUt7ZiSE	High	Uninformative variable names	Sloppy analysis techniques	Very High	Minor	frustration	NA	NA	NA	NA	developmental and educational psychology	10
R_1DzEEG1QzkdWLdl	Low	Data was coded wrong and we needed to manually recode the dataset.	poor programming in qualtrics	Low	Minor	time loss	the above mentioned	NA	Insignificant	time loss	other	11
R_2B8trxy4O95LIjg	Low	Using the wrong version of the code	Lack of coordination	Low	Moderate	time loss	Using the wrong version of the code	Lack of coordination	Moderate	time loss	experimental and cognitive psychology	20
R_1LBzXSxZUeQ0CZr	Moderate	Problems interpreting variable names	Different users having different knowledge and understanding of the variables	Moderate	Minor	time loss	Mislaid imaging data resulting in data loss for several years until rediscovery	Poor communication about data storage. Poor labelling of files	Minor	time loss	clinical psychology	20
R_28ZpvpJ7r1GU67H	High	not realizing that we had been working on the wrong version of a data	Several and different data sets from the same study	Moderate	Minor	frustration	Erros in coding the variables and setting cut-points for an instrument	inexperience of the people introducing the data in SPSS	Moderate	time loss	clinical psychology	5
R_3HtqACEHt1G9A41	Low	I have made changes in an SPSS data file and forget to save the original version so that I had to go back to the raw data in order to preserve the un-recoded variables	Carelessness.	Very Low	Insignificant	time loss	Missing data is a bigger problem than actual data mistakes but the biggest mistake has been when I have transformed a variable without saving the original version in the data file in order to confirm that the recoding was done properly.	Simple human error in failing to follow proper protocol.	Insignificant	time loss	developmental and educational psychology	25
R_1g86ziif9LCszbc	Low	Lack of variable validation allowing intended numeric variable fields to contain text, resulting in the variable to be formatted as character instead of numeric.	Poor data management/study design.	High	Moderate	frustration	Code written to classify disease location, behavior, and extent was incorrect.	Code included a variable that resulted in patients being classified incorrectly.	Moderate	erroneous conclusion	other	10
R_Asx9afieZL39PhL	Very Low	Excluding participants and then analysing data without those participants excluded - this shows up in the dfs though so (as far as I'm aware!) has always been spotted and corrected before anything has been published.	PhD researcher with less experience of data management - to a certain extent it could simply be viewed as part of the learning process.	Low	Minor	time loss	Can't recall any others within the last 5 years.	n/a	NA	NA	experimental and cognitive psychology	24
R_2eOxrEvCxEutKdg	Low	The corection of the questionnaires (syntaxis) shows errors.	human error	Low	Insignificant	time loss	we lose all the data of a project for an informatical error	human error	Major	frustration	clinical psychology	10
R_3rZAis4XlhhtCIC	High	Probably erroneously coding survey data so that data end up in incorrect variables.	Carelessness.	Low	Major	erroneous conclusion	This is not the most common, but the most severe was that automatically generated random survey identifiers for a longitudinal study were accidentally overwritten by a new random identifier set.	Not thinking through every contingency scenario in what could go wrong in the study.	Major	time loss	methodology and statistics	8
R_2VmBlknbIlY3gij	Low	Making sure everyone was accessing the most recent data file so that variables were created, alphas calculated, etc.	Issues with file naming and/or lack of communication around filing of data sets.	Low	Minor	time loss	In a dataset obtained from a paid for Qualtrics panel, we had an inaccurate filter on a variable that made it so we could not get usable data. Specifically, we copied a survey over from a prior sample to edit and did not take the requirement off the age variable that the number must be between 18 and 99. Our Qualtrics panel was of adolescents. Because of this, we did not get useable age data. We did have a grouping variable we could use, but no ratio level item.	Copying a previous survey and not stripping requirements. A lack of pretesting with the target audience (all our pretesters were 18 or older).	Moderate	frustration	social psychology	6
R_3J4c4rpnbPrwloU	Low	key to demographic variables lost to time	poor record keeping	Very Low	Minor	frustration	NA	NA	NA	NA	personality psychology	20
R_38UJ0Ze2LPz2C1b	Moderate	Mislabeling	Shifting between data collection product(s) and analytical software	Low	Moderate	time loss	Planned 5 (SA) - 1 (SD) scale recorded as 5 (SD) - 1( SA), so #s backward & all conclusions opposite - had to relabel raw data & redo all analysis & conclusions	Missed a collector to analysis software import step	Major	time loss	other	5
R_3fPi4q2MtOopLwb	Very Low	Improperly recording data.	Sloppiness.	Very Low	Moderate	time loss	Improperly recording data.	Sloppiness and rushed data collection.	Minor	time loss	other	25
R_2VqpVBYSI1pLkvH	Low	NA	NA	Low	Minor	time loss	NA	NA	NA	NA	other	20
R_1LbdeE1TkgHwlf0	Moderate	RAs fail to update the subject list, resulting in multiple files or entries with the same subject ID.	Hard to say. I guess RAs sometimes forget to cross the subject ID off the list. I'm trying to automate this through the computer in the future.	Moderate	Moderate	time loss	IT department decided to tear down the GitLab server with no forewarning, taking with it all my data and code. I had most of it in a local repository on my laptop but it still sucked.	Bad communication between IT and users; IT assumed it had everything accounted for, but didn't back up other directories.	Moderate	time loss	social psychology	9
R_2b2hwMGWs1zscoE	Low	Misnaming data Misnaming files	workload	Low	Minor	time loss	Losing a recording from an interview in an office move	See above	Minor	frustration	clinical psychology	19
R_1jTgRy9bu3qIAQT	Very Low	There was a data error inputting the wrong information for one of the variables	Inaccurate data inputting	Very Low	Minor	frustration	Incorrect use of syntax to make new variables	Researcher error	Minor	time loss	clinical psychology	46
R_ZKoWiUDZBNjI1kl	High	Inconsistent coding by junior researchers	Inadequate training & support; insufficient standardisation routines & protocols	Very High	Major	erroneous conclusion	Compromise in participant anonymity	Mismatch between the researcher’s expertise and role; inadequate supervision	Extreme	The article would have to be abandoned, and sanctions taken. This did not occur, due to decisions made above my pay grade, but I still consider it a failure.	social psychology	10
R_XojQnylYueRx31f	Very Low	NA	NA	Very Low	NA	NA	NA	NA	NA	NA	other	5
R_1MQWERjeI1GSADq	Low	Working with excel files and getting confused on which file is what data and what version (ie cleaned data, data with imputed missing values, raw data, etc)	Poor communication between team members and bad naming of files (ie data.xlsx, datafinal.xlsx, datafinal(1).xlsx)	Low	Moderate	time loss	Potential ethical violation by recording final grades without receiving consent. We had a group of students in an intervention who consented but didn’t have enough power to use repeated measures, so we tried to do a matched sample of students who didn’t receive the intervention. Since they didn’t receive the intervention, they never consented.	Not enough power and trying to use a plan B for analysis... make it worth collecting the initial data.	Major	erroneous conclusion	experimental and cognitive psychology	2
R_1kTSdgoR3ATiihw	High	I would guess the most frequent cases are never detected.  I have noticed common mistakes in either (a) joining data or (b) random number generation (RNG).	One case of RNG error was when we thought code was setting a seed in a particular way, but it was not. This function was poorly documented.	Very Low	Major	erroneous conclusion	That same error I described above (error with seeding of random number generator, RNG).	See above.	Major	erroneous conclusion	methodology and statistics	10
R_1lAjGmRwoW52vY9	Low	*not clear variable labeling *poor data back-up *access to the same computer by different researchers without knowing about each other *no participant scheduling software	*poor supervision/management *poor collaboration *no dedicated software, databases *no guidelines	Low	Minor	time loss	unstructured back-up (every researcher has data from his/her experiment on a personal disk) and not well secured data collected with questionnaires (i.e., physical material)	no tools provided by the institutions, no interest in this topic in the management	Minor	frustration	applied psychology	7
R_12kZ5E4TIFs2wbK	Low	Hard to say.  One common problem is difficulty sorting out which data set corresponds to which project, or finding the data set that corresponds to a particular project.	A chronic problem is that I haven't yet developed a good data management plan (or even a bad data management plan) so it is often more difficult than it should be to remember which data set is which.	Low	Moderate	frustration	In a recent collaboration that involved a replication I realized that we were analyzing the wrong DV (i.e., the original article conditionalized in a sensible way but we were not). That dramatically changed the story.  Fortunately that was caught fairly early.	Not sure.	Minor	erroneous conclusion	experimental and cognitive psychology	30
R_2ARO4v2Lk45N6OG	Low	poorly named variables that are unhelpful when research assistants change multiple versions of data files, without proper names to indicate which is the most uptodate working file	I think (1) we need a more systematic way for naming variables and datafiles that is used across studies, so that when there are multiple users (as when research assistants change) the reference is clear.	Low	Minor	all of the above -- mostly time loss	my post doc didn't put a limit on participants for an online survey and it went viral overnight.  Couldn't use the data because we couldn't be sure who was a legitimate subject or not; REB insisted we pay everyone who responded.  Lost several thousand dollars and a lot of time.  The project is a write-off unless I get more funding.  No article ever published, obviously.	poor programming and lack of experience	Major	all of the above	developmental and educational psychology	30
R_2S2MjnRg4NsWUiX	Low	badly executed merging of data	technical-programming requirements	Low	Moderate	frustration	programming difficulties in data merging	insufficient programming knowledge, insufficient understand of data nature	Moderate	frustration	other	6
R_d5bHbCJFKEtSdcB	High	Since we work from different places and use a cloud solution for our data files, the most common one is working on the wrong dataset because you don’t know that there is an updated version someone else has been working in. Could be solved by better communication, but easy to forget to email the relevant colleague with the new file version.	Poor communication when things get stressed.	High	Minor	time loss	I have only been researching for a year, so I don’t have a lot to compare with. I guess I would say the most serious data mistake was when I believed I had used a bonferroni correction on some pair wise comparisons and written the entire thing up in the results section. I then noticed that those values could not have been the corrected ones and we had to rewrite a large part of our discussion draft after I corrected the mistake.	Spss was lying to me, and I didn’t know enough to make sure to always double check spss. Which is why I now use R.	Moderate	erroneous conclusion	social psychology	1
R_T1L5jxO15Adwh0d	Very Low	Realizing that an imputation had produced unexpected results that required a re-examination of how the data were specified in advance.	Having a data person on our team who was less familiar than we were with how we wanted this done.	Low	Moderate	Plus time loss. You should allow us to select multiple outcomes here.	This was more of a hiccup than a mistake, but by specifying the data incorrectly prior to a giant imputation that was going to take days, we realized when the parameters of certain variables were surprising that something odd must've happened. It required an additional week of work and delayed us and was frustrating and made us question our trust in the person who made the mistake.	Either carelessness or confusion or both on the part of the person who made the mistake.	Moderate	frustration	applied psychology	28
R_3MxiNSZMv5T1z4X	Low	recoding and computing variables and forgetting to properly label them, making it hard to use them the next day and basically starting all over again each time	lack of time, hurry	Moderate	Minor	frustration	"during the online survey, several questions were not coded properly and the answer ""1"" was by accident saved for all respondents, leading to completely losing the data for these few questions"	the IT guy error that was not spotted during the questionnaire functionality checks before the data collection started	Moderate	frustration	social psychology	8
R_zTomGWKEQc3Ne8h	Low	Integration of data on individuals across data sources.	Multiple. Inability to properly identify individuals, poorly labeled variables, spreadsheet copy and paste errors	Low	Minor	time loss	Probably the one I haven’t discovered yet.	NA	Moderate	NA	developmental and educational psychology	24
R_3PpfaE6kx9z6Gdn	Very Low	None that I can think of.	NA	Very Low	Insignificant	None	None that I can think of	NA	Insignificant	None	other	20
R_3L6niGuAekVeaXx	Moderate	over the years I have seen the following: -overlapping participant numbers between different groups, means no one knows what disorder which participant has.  -missing demographic information, e.g. age, gender, BMI for anorexia -quick programming leading to errors in saving data (e.g. just half the task is recorded) -people loosing data analyses they spend months on -badly programmed .exe task files that do not represent what was said in papers (you have to dig deep into C decompiling to notice this)	info:most of the problems occur if either too many people are involved in analysing the same datasets (e.g. large labs in which data is reused over and over) or when people are not given enough time to think about their task when having to program it. and then you also have people who have to program tasks even though they have never done it before and no one checks it. bad management really.	Moderate	Major	all of this can happen if no one checks-finds it. in ours mainly time loss due to some smart people finding it just before article publication	I see them all as quite serious. worst was wrong task programming which just was noticed when I was given the data to write up. when digging into the methods I noticed that RTs are fixed and varied only by a refreshrate-the previous guy just said it is singificant and wanted it to be published. so no, task had to be reprogrammed and new data had to be collected.	giving tasks that require expertise (data management, programming, analyses) to undergraduates-master students without checking it. again, bad management in my opinion + probably time pressure.	Major	time loss	experimental and cognitive psychology	13
R_2tiiMYZYEfHjyYN	Very High	Research assistant canceled or failed to show up for a scheduled session, resulting in data loss for researchers and wasted time for participants.	Either research assistant inattentiveness/laziness or miscommunication between PI (e.g., the grad student overseeing the project) and research assistant as to the study schedule.	Very High	Minor	Data loss (i.e., we lost some participants)	Overwrote a file containing raw data from a time-consuming study.	Personal forgetfulness/inattentiveness.	Moderate	Data loss (i.e., I essentially deleted a raw data file by overwriting it)	social psychology	8
R_1EibulGREp2Awdg	Low	The Qualtrics Survey Software often codes variable values incorrectly and it is difficult to spot this issue in the exported SPSS dataset.	An issue when creating survey items on Qualtrics.	Low	Minor	erroneous conclusion	Had copied an existing Qualtrics survey and didn't realise that the panel provider had included quotas in the previous version, so half-way through data collection, the survey unexpectedly began to exclude everyone from participating (as it had exceeded the quotas that had been unintentionally included).	Miscommunication/ researcher error.	Moderate	All of the above	social psychology	4
R_ZmXnCTgu01NJWAV	NA	"I think this conflates multiple unrelated processes, and is not a helpful categorization. Errors in data collection are substantively different in errors in data storage, data management, data analysis, and data reporting. If you're going to conflate them all, that's basically the same as calling them ""errors in research."""	Impossible for me to say; we can't introspect on the causes of our own behavior (Nisbett & Wilson, 1977). I'm sincere.	NA	NA	NA	See above, this is not a valid construct	See above, we cannot introspect accurately on the causes of our behavior	NA	NA	social psychology	13
R_1PYqrwTWH43MQ4b	Low	Coding error (eg collapsing categories incorrectly, not coding missing data as missing)	Not realizing an error was made when writing the code/syntax	Low	Minor	Time loss and frustration (survey wouldn’t allow me to select both)	Not being able to duplicate analyses. The original analyses may have been wrong or possibly done in a subgroup or different dataset. We never figured it out. We realized it when we received an R&R. We felt very confident that our re do of the analyses were right.	Unclear but my guess is sleeplessness, rushing and rue to too much work led to a sloppy first analysis. Poor organization of data file and code led to us not being able to figure how the original analysis was wrong.	Moderate	Frustration, time loss, having an editor look down on us for changing conclusions after an R&R	other	14
R_qyVu3WJ4rXTojBf	Very Low	Graduate students not using cleaned data (I.e., data that had been double entered, discrepancies resolved, distributions of scores checked to comfirm accuracy)	They didn’t download the newest file from the lab server	Very Low	Minor	time loss	Undergrad ra left lab during a participant run. Ra returned and attempted to make up data. Another ra had been keeping up with data and stopped the ra from making up data. Ra fired approximately 30 minutes later (time it took for me to be informed and me to walk across campus to my lab).	Poor decision making by an undergrad ra. For the next question, had the ra not been caught in the act, then the data would have been fraudulent and useless. That ra was caught met actual harm was minimal and amounted to time loss and frustration.	Major	erroneous conclusion	clinical psychology	10
R_3q9lNyzTYS3Wwfu	Moderate	misplaced or mislabeled data	the lack of easy-to-use data management tools that would automatize e.g. version control	Very High	Minor	time loss	in the experiment, only half of the stimuli were run for most of the participants.	In the stimulus presentation software, one tickbox was unticked during pilot tests, and because another person were running the experiment than the one doing the tests, nobody noticed before most of the participants were already run.	Major	data became mostly useless	experimental and cognitive psychology	12
R_wQKtnSahMtTdwZP	Low	Errors calculating the dimensions of some questionnaires.	Lack of information, or precise information	Low	Moderate	time loss	After I entered all the data, when I was analysing the data, I realised I made a mistake. So, I had to introduce all the data again. I lost time, and it was frustrating. Luckily, I did not publish anything with the wrong data	Lack of attention	Moderate	time loss	clinical psychology	14
R_2pLz7xMojRnoxaR	High	"Every project is extremely unique and has it's own problems. I can't tell you what the ""most frequent"" was. How about: using inconsistent identifiers when create data for different aspects of a large project."	Different people running different parts of the project with little communication between them.	Low	Major	time loss	I wrote software to collect data, and an error in the database software wiped the entire database halfway through the project.	We never isolated the cause. The solution was to run hourly backups of the database, then rewrite the codebase from scratch rather than using third-party libraries for the API.	Major	data loss	applied psychology	6
R_e2QJYA7HDLHM0QV	Moderate	Working with/having saved multiple datasets versions, where variables have been trnasformed/not kniwnig whether/how exactly (i.e. by group, for the enitre sample?)outliers were excuded.	Being in hurry. Not being 100% concerntrated while analysing/running studies. Being mentally depleted at the moment of saving the analysis files.	Low	Minor	time loss	Erroneous logging of data.	Lack of systematicity in the process of collaborative data collection.	Minor	time loss	social psychology	6
R_30qQDg8DretpwYi	Very High	Data sets merged incorrectly	Software for merging is either A) too lenient (eg Excel), or B) opaque and hard to work correctly (eg SPSS & R).	Moderate	Moderate	time loss	Two questionnaires that were needed were not added to the online Qualtrics survey that participants completed at home.	Miscommunication between study personnel.	Moderate	time loss	experimental and cognitive psychology	7
